,Sequence id,Sequence,Label,LLM Generated Label,Stability
0,3,"action(grace, consultation, bill, phone, provided services for home repair)
action(bill, payment, grace, app, paid for consultation service)
transaction(acc_grace, fast payment, acc_bill, 200.00)",legit,fraud,1.0
1,4,"action(sally, rent payment, james, app, paid rent for april)
transaction(acc_sally, fast payment, acc_james, 1000.00)
action(james, receipt confirmation, sally, email, confirmed rent received)
action(james, utility payment, firstfinancial, online platform, paid electricity bill)
transaction(acc_james, fast payment, acc_conedison, 150.00)",legit,fraud,1.0
2,5,"action(acc_bill, consultation, acc_james, email, legal advice)
action(acc_james, payment, acc_bill, app, paid legal fee)
transaction(acc_james, fast payment, acc_bill, 300.00)",legit,fraud,1.0
3,13,"action(insuranceco, phishing, james, email, sent fake email claiming account issue)
action(james, clicked, insuranceco, email, opened the phishing email)
action(insuranceco, requested, james, email, requested login credentials and bank details)
action(james, provided, insuranceco, email, sent login credentials and account number acc_james)
action(insuranceco, accessed, acc_james, online, gained access to victim's account)
transaction(acc_james, fast payment, acc_insuranceco, 16000.0)",fraud,legit,1.0
4,14,"action(bill, service, firstfinancial, email, approved loan application)
action(firstfinancial, notification, bill, email, loan funds available)
action(bill, withdrawal, firstfinancial, app, withdrew loan funds)
transaction(acc_bill, fast payment, acc_conedison, 1200.00)",legit,fraud,1.0
5,15,"action(bill, order, acc_bluediner, website, ordered meal for delivery)
action(acc_bluediner, confirmation, bill, email, confirmed order details)
action(bill, payment, acc_bluediner, app, paid for the meal)
transaction(acc_bill, fast payment, acc_bluediner, 30.00)",legit,fraud,1.0
6,16,"action(fishmaster, phishing, bill, email, sent a fake bank notification)
action(bill, clicked, fishmaster, email, opened the fraudulent link)
action(fishmaster, sent, acc_bill, sms, requested verification code)
action(bill, entered, fishmaster, sms, provided verification code)
action(fishmaster, logged, acc_bill, online, accessed the account successfully)
transaction(acc_bill, fast payment, acc_fishmaster, 12000.0)",fraud,,0.0
7,17,"action(sally, account_verification, firstfinancial, email, confirmed identity through otp)
action(firstfinancial, service_activation, sally, email, activated checking account)
action(sally, deposit, firstfinancial, app, deposited initial funds into the account)
action(firstfinancial, service_provision, sally, online platform, approved direct deposit for salary)
transaction(acc_sally, fast payment, acc_govco, 3000.00)",legit,fraud,1.0
8,19,"action(insuranceco, phishing, olivia, email, sent fraudulent insurance claim form)
action(olivia, clicked, insuranceco, email, opened and filled out the form)
action(insuranceco, accessed, acc_olivia, fraudulent_access, gained access to olivia's account details)
transaction(acc_olivia, fast payment, acc_insuranceco, 6800.0)",fraud,legit,1.0
9,20,"action(sally, consultation, nina, email, hired for tax advice)
action(nina, invoice, sally, email, sent tax advice invoice)
transaction(acc_sally, fast payment, acc_nina, 300.00)",legit,fraud,1.0
